target,r2_default,r2_optuna,improvement,mae_default,mae_optuna,best_n_estimators,best_num_leaves,best_learning_rate,best_max_depth,best_min_child_samples,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda
formation_energy_per_atom,0.9117075241258668,0.9149667087347186,0.003259184608851884,0.1934222828868159,0.18067158434438813,450,39,0.07832505149659784,10,17,0.9017647491320874,0.7275052171544025,0.48918854782763194,0.2780280375094655
energy_above_hull,0.7982244630621904,0.8027430227637585,0.0045185597015681145,0.1766004026359721,0.16911770967189738,454,105,0.04398189955114846,11,23,0.8476763418106555,0.7327122497128112,0.7446905358437304,0.0022426321201346132
