model_A,model_B,mean_R2_A,mean_R2_B,mean_diff,wilcoxon_p,significant_0.05,target
LightGBM,RF,0.9082755430963608,0.8876784898497962,0.020597053246564512,0.0625,False,formation_energy_per_atom
LightGBM,XGBoost,0.9082755430963608,0.9078390006381232,0.00043654245823754323,0.8125,False,formation_energy_per_atom
RF,XGBoost,0.8876784898497962,0.9078390006381232,-0.02016051078832697,0.0625,False,formation_energy_per_atom
LightGBM,RF,0.7969708108112133,0.7704514460071124,0.02651936480410111,0.0625,False,energy_above_hull
LightGBM,XGBoost,0.7969708108112133,0.7923560594264799,0.004614751384733484,0.125,False,energy_above_hull
RF,XGBoost,0.7704514460071124,0.7923560594264799,-0.021904613419367624,0.0625,False,energy_above_hull
