seed,Precision,Recall,F1,AUC_ROC,DAF_top10%,DAF_top5%
42,0.7392996108949417,0.41125541125541126,0.5285118219749653,0.9325289864373422,6.3688205887798555,7.944712430426716
123,0.7205882352941176,0.42424242424242425,0.5340599455040872,0.9340979101760774,6.433808553971487,7.8578849721706865
456,0.7431906614785992,0.4134199134199134,0.5312934631432545,0.9333457797069658,6.433808553971487,7.9012987012987015
789,0.7360594795539034,0.42857142857142855,0.5417236662106704,0.9345840966460913,6.563784484354749,7.814471243042672
2024,0.7121771217712177,0.41774891774891776,0.5266030013642565,0.9365832954107888,6.542121829290872,7.7710575139146565
