model_A,model_B,mean_MAE_A,mean_MAE_B,mean_diff,wilcoxon_p,significant_0.05,target
LightGBM,RF,0.17462495240082726,0.1891583485452503,-0.014533396144422983,0.0625,False,energy_above_hull
LightGBM,XGBoost,0.17462495240082726,0.17477213882589898,-0.00014718642507170477,0.625,False,energy_above_hull
RF,XGBoost,0.1891583485452503,0.17477213882589898,0.014386209719351279,0.0625,False,energy_above_hull
