train_size,baseline_R2,transfer_R2,gain,gain_pct
200,0.4439286194680851,0.4050271535508532,-0.03890146591723187,-8.763000203999818
500,0.588951419473586,0.5765532086569956,-0.012398210816590427,-2.1051330187166903
1000,0.6554995725263287,0.6490922407468334,-0.006407331779495373,-0.9774730660809525
2000,0.7368066180738574,0.7316866101886227,-0.005120007885234701,-0.6948916788601043
4914,0.7981166857299095,0.7878445127257524,-0.01027217300415706,-1.2870515270448497
