seed,r2_physics
42,0.40572347727056357
123,0.4262747939743458
456,0.40280448547042996
789,0.4562493582360645
2024,0.4412011185028211
314,0.4106483085937369
271,0.48169999620421233
161,0.45314494782712966
803,0.44807368241670176
951,0.42250905378677894
