RMSE,MAE,R2,model,target,n_samples,n_features
0.33195812163376914,0.22781433658933659,0.8865494798836651,RF,formation_energy_per_atom,4914,113
0.3335573963527324,0.22165788208871282,0.8854537054766465,SVR,formation_energy_per_atom,4914,113
0.2954179882681471,0.19265374399660368,0.9101508925985908,XGBoost,formation_energy_per_atom,4914,113
0.2935673517944416,0.19206698589895776,0.9112730802795787,LightGBM,formation_energy_per_atom,4914,113
0.29949053010509236,0.2010869597069597,0.7607006330072053,RF,energy_above_hull,4914,113
0.32171881664195995,0.2102458996493875,0.7238606578455864,SVR,energy_above_hull,4914,113
0.27626576640235906,0.17473061187131797,0.7963757462908413,XGBoost,energy_above_hull,4914,113
0.272581701965709,0.17336175837614506,0.801770284129469,LightGBM,energy_above_hull,4914,113
